sample_name	collection_timestamp	date_collected	description	dna_extracted	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	geo_loc_name	latitude	longitude	physical_specimen_location	physical_specimen_remaining	qiita_study_id	sample_type	sample_type2	scientific_name	site_code	taxon_id	title	year_collected
14446.3038	9/12/17	9/12/17	North Side WRP (Obrien)	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	wastewater	wastewater/sludge	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	effluent	O'Brien_Effluent	wastewater metagenome	O'Brien	527639	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.3039	9/12/17	9/12/17	not provided	TRUE	182	Free-living	Non-saline	Sediment (non-saline	urban biome	river	sediment	sediment	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	sediment	Sediment	freshwater sediment metagenome	112	556182	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.304	4/14/14	4/14/14	North Branch Chicago River @ Diversey Ave.	TRUE	182	Free-living	Non-saline	Sediment (non-saline	urban biome	river	sediment	sediment	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	sediment	Sediment	freshwater sediment metagenome	73	556182	Nuanced effects of wastewater disinfection upgrades on the microbial community	2014
14446.3040	9/12/17	9/12/17	not provided	TRUE	182	Free-living	Non-saline	Sediment (non-saline	urban biome	river	sediment	sediment	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	sediment	Sediment	freshwater sediment metagenome	36	556182	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.3041	9/12/17	9/12/17	not provided	TRUE	182	Free-living	Non-saline	Sediment (non-saline	urban biome	river	sediment	sediment	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	sediment	Sediment	freshwater sediment metagenome	96	556182	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.3042	9/12/17	9/12/17	not provided	TRUE	182	Free-living	Non-saline	Sediment (non-saline	urban biome	river	sediment	sediment	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	sediment	Sediment	freshwater sediment metagenome	73	556182	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.3043	9/18/17	9/18/17	not provided	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	fresh water	water	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	water filter	Water	riverine metagenome	100	1646512	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.3044	9/18/17	9/18/17	not provided	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	fresh water	water	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	water filter	Water	riverine metagenome	108	1646512	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.3045	9/18/17	9/18/17	not provided	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	fresh water	water	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	water filter	Water	riverine metagenome	99	1646512	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.3049	9/19/17	9/19/17	not provided	TRUE	182	Free-living	Non-saline	Sediment (non-saline	urban biome	river	sediment	sediment	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	sediment	Sediment	freshwater sediment metagenome	100	556182	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.305	4/28/14	4/28/14	Little Calumet River @ Halsted St.	TRUE	182	Free-living	Non-saline	Sediment (non-saline	urban biome	river	sediment	sediment	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	sediment	Sediment	freshwater sediment metagenome	76	556182	Nuanced effects of wastewater disinfection upgrades on the microbial community	2014
14446.3050	9/19/17	9/19/17	not provided	TRUE	182	Free-living	Non-saline	Sediment (non-saline	urban biome	river	sediment	sediment	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	sediment	Sediment	freshwater sediment metagenome	108	556182	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.3051	9/19/17	9/19/17	not provided	TRUE	182	Free-living	Non-saline	Sediment (non-saline	urban biome	river	sediment	sediment	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	sediment	Sediment	freshwater sediment metagenome	99	556182	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.3052	9/25/17	9/25/17	WRP Calumet	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	wastewater	wastewater/sludge	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	effluent	Calumet_Effluent	wastewater metagenome	Calumet	527639	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.3053	9/25/17	9/25/17	WRP Calumet	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	sewage	wastewater/sludge	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	sewage	Calumet_Sewage	wastewater metagenome	Calumet	527639	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.3054	9/25/17	9/25/17	not provided	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	fresh water	water	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	water filter	Water	riverine metagenome	86	1646512	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.3056	9/25/17	9/25/17	not provided	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	fresh water	water	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	water filter	Water	riverine metagenome	59	1646512	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.3057	9/25/17	9/25/17	not provided	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	fresh water	water	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	water filter	Water	riverine metagenome	76	1646512	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.3058	9/25/17	9/25/17	not provided	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	fresh water	water	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	water filter	Water	riverine metagenome	56	1646512	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.3059	9/25/17	9/25/17	not provided	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	fresh water	water	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	water filter	Water	riverine metagenome	57	1646512	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.306	5/12/14	5/12/14	North Branch Chicago River @ Albany Ave.	TRUE	182	Free-living	Non-saline	Sediment (non-saline	urban biome	river	sediment	sediment	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	sediment	Sediment	freshwater sediment metagenome	96	556182	Nuanced effects of wastewater disinfection upgrades on the microbial community	2014
14446.3060	9/25/17	9/25/17	not provided	TRUE	182	Free-living	Non-saline	Sediment (non-saline	urban biome	river	sediment	sediment	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	sediment	Sediment	freshwater sediment metagenome	86	556182	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.3061	9/25/17	9/25/17	not provided	TRUE	182	Free-living	Non-saline	Sediment (non-saline	urban biome	river	sediment	sediment	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	sediment	Sediment	freshwater sediment metagenome	57	556182	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.3062	9/26/17	9/26/17	not provided	TRUE	182	Free-living	Non-saline	Sediment (non-saline	urban biome	river	sediment	sediment	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	sediment	Sediment	freshwater sediment metagenome	59	556182	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.3063	9/26/17	9/26/17	not provided	TRUE	182	Free-living	Non-saline	Sediment (non-saline	urban biome	river	sediment	sediment	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	sediment	Sediment	freshwater sediment metagenome	76	556182	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.3064	9/26/17	9/26/17	not provided	TRUE	182	Free-living	Non-saline	Sediment (non-saline	urban biome	river	sediment	sediment	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	sediment	Sediment	freshwater sediment metagenome	56	556182	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.3065	10/9/17	10/9/17	not provided	TRUE	182	Free-living	Non-saline	Sediment (non-saline	urban biome	river	sediment	sediment	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	sediment	Sediment	freshwater sediment metagenome	112	556182	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.3066	10/9/17	10/9/17	not provided	TRUE	182	Free-living	Non-saline	Sediment (non-saline	urban biome	river	sediment	sediment	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	sediment	Sediment	freshwater sediment metagenome	36	556182	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.3067	10/9/17	10/9/17	not provided	TRUE	182	Free-living	Non-saline	Sediment (non-saline	urban biome	river	sediment	sediment	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	sediment	Sediment	freshwater sediment metagenome	96	556182	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.3068	10/9/17	10/9/17	not provided	TRUE	182	Free-living	Non-saline	Sediment (non-saline	urban biome	river	sediment	sediment	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	sediment	Sediment	freshwater sediment metagenome	73	556182	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.3069	10/9/17	10/9/17	not provided	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	fresh water	water	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	water filter	Water	riverine metagenome	112	1646512	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.307	5/12/14	5/12/14	North Branch Chicago River @ Diversey Ave.	TRUE	182	Free-living	Non-saline	Sediment (non-saline	urban biome	river	sediment	sediment	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	sediment	Sediment	freshwater sediment metagenome	73	556182	Nuanced effects of wastewater disinfection upgrades on the microbial community	2014
14446.3070	10/9/17	10/9/17	not provided	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	fresh water	water	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	water filter	Water	riverine metagenome	36	1646512	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.3072	10/9/17	10/9/17	not provided	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	fresh water	water	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	water filter	Water	riverine metagenome	96	1646512	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.3073	10/9/17	10/9/17	not provided	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	fresh water	water	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	water filter	Water	riverine metagenome	73	1646512	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.3077	10/10/17	10/10/17	North Side WRP (Obrien)	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	sewage	wastewater/sludge	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	sewage	O'Brien_Sewage	wastewater metagenome	O'Brien	527639	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.3078	10/10/17	10/10/17	North Side WRP (Obrien)	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	wastewater	wastewater/sludge	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	effluent	O'Brien_Effluent	wastewater metagenome	O'Brien	527639	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.308	4/14/14	4/14/14	North Shore Channel @ Demster Street	TRUE	182	Free-living	Non-saline	Sediment (non-saline	urban biome	river	sediment	sediment	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	sediment	Sediment	freshwater sediment metagenome	112	556182	Nuanced effects of wastewater disinfection upgrades on the microbial community	2014
14446.3082	10/11/17	10/11/17	not provided	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	fresh water	water	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	water filter	Water	riverine metagenome	59	1646512	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.3083	10/11/17	10/11/17	not provided	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	fresh water	water	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	water filter	Water	riverine metagenome	57	1646512	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.3084	10/11/17	10/11/17	not provided	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	fresh water	water	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	water filter	Water	riverine metagenome	76	1646512	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.3085	10/11/17	10/11/17	not provided	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	fresh water	water	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	water filter	Water	riverine metagenome	56	1646512	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.3086	10/11/17	10/11/17	not provided	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	fresh water	water	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	water filter	Water	riverine metagenome	55	1646512	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.3087	10/11/17	10/11/17	not provided	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	fresh water	water	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	water filter	Water	riverine metagenome	86	1646512	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.3088	10/11/17	10/11/17	not provided	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	fresh water	water	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	water filter	Water	riverine metagenome	52	1646512	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.3089	10/11/17	10/11/17	not provided	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	fresh water	water	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	water filter	Water	riverine metagenome	97	1646512	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.309	5/19/14	5/19/14	Chicago River Main Stem @ Wells St.	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	fresh water	water	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	water filter	Water	riverine metagenome	100	1646512	Nuanced effects of wastewater disinfection upgrades on the microbial community	2014
14446.3090	10/11/17	10/11/17	not provided	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	fresh water	water	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	water filter	Water	riverine metagenome	43	1646512	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.3096	10/16/17	10/16/17	not provided	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	fresh water	water	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	water filter	Water	riverine metagenome	100	1646512	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.3097	10/16/17	10/16/17	not provided	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	fresh water	water	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	water filter	Water	riverine metagenome	108	1646512	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.3098	10/16/17	10/16/17	not provided	TRUE	182	Free-living	Non-saline	Water (non-saline)	urban biome	river	fresh water	water	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	water filter	Water	riverine metagenome	99	1646512	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.3099	10/17/17	10/17/17	not provided	TRUE	182	Free-living	Non-saline	Sediment (non-saline	urban biome	river	sediment	sediment	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	sediment	Sediment	freshwater sediment metagenome	100	556182	Nuanced effects of wastewater disinfection upgrades on the microbial community	2017
14446.31	9/23/13	9/23/13	South Fork, South Branch Chicago River @ Archer Ave.	TRUE	182	Free-living	Non-saline	Sediment (non-saline	urban biome	river	sediment	sediment	USA:IL:Chicago	41.88	-87.63	UCSD	TRUE	14446	sediment	Sediment	freshwater sediment metagenome	99	556182	Nuanced effects of wastewater disinfection upgrades on the microbial community	2013
